metric,metric_label,single_n,single_mean,single_sd,multi_n,multi_mean,multi_sd,welch_t,p_value,cohens_d
total_score,Total Score,450,0.0,0.0,450,3.3444444444444446,2.996512862365718,-23.67631431524669,5.051740445944058e-81,-1.5784209543497791
grounding_rate,Grounding Rate,450,0.0,0.0,450,0.7518518518518519,0.28989886840120593,-55.01637993526191,1.1692724982647083e-201,-3.667758662350794
mean_coherence,Mean Coherence,450,0.0,0.0,450,0.7842345679012346,0.13677032004223968,-121.63550852976074,0.0,-8.109033901984047
contradiction_rate,Contradiction Rate,450,0.0,0.0,450,0.03333333333333333,0.10727093133615143,-6.591783742146416,1.2217961619824536e-10,-0.4394522494764278
